Rank (by Proportion),State,2011 STEM Jobs,Proportion of All Jobs,2011 STEM Hourly Earnings,Earnings Difference (STEM vs. All Jobs)
1,District of Columbia (DC),"72,143",10.10%,$42.84,$9.30
2 (tie),Washington (WA),"238,417",8.00%,$37.14,$15.77
2 (tie),Virginia (VA),"302,219",8.00%,$38.70,$18.02
4,Maryland (MD),"202,100",7.90%,$38.44,$15.96
5,Massachusetts (MA),"249,900",7.70%,$38.47,$14.90
6,Colorado (CO),"167,347",7.30%,$37.09,$16.64
7,Delaware (DE),"24,847",6.10%,$35.13,$14.36
8 (tie),Michigan (MI),"231,148",6.00%,$32.26,$12.94
8 (tie),California (CA),"895,461",6.00%,$38.85,$17.06
8 (tie),Minnesota (MN),"157,681",6.00%,$33.65,$13.21
11,New Jersey (NJ),"225,629",5.90%,$37.93,$15.46
12 (tie),New Hampshire (NH),"35,069",5.70%,$33.56,$13.81
12 (tie),Alaska (AK),"19,902",5.70%,$35.46,$13.18
14,New Mexico (NM),"45,908",5.60%,$33.21,$15.87
15 (tie),Utah (UT),"66,055",5.50%,$29.88,$12.26
15 (tie),Connecticut (CT),"88,996",5.50%,$35.57,$12.80
15 (tie),Idaho (ID),"34,725",5.50%,$26.88,$10.04
18,Texas (TX),"579,264",5.40%,$34.35,$16.17
19,Oregon (OR),"87,500",5.30%,$31.16,$12.03
20,Vermont (VT),"15,991",5.20%,$30.08,$11.45
21,Arizona (AZ),"123,994",5.00%,$31.93,$13.75
22,Pennsylvania (PA),"273,038",4.90%,$31.89,$13.04
23,Ohio (OH),"242,913",4.80%,$31.52,$13.25
24 (tie),North Carolina (NC),"184,958",4.70%,$32.10,$14.63
24 (tie),Kansas (KS),"64,069",4.70%,$29.65,$12.51
26 (tie),New York (NY),"392,267",4.60%,$33.93,$11.52
26 (tie),Illinois (IL),"260,730",4.60%,$33.97,$13.62
28 (tie),Georgia (GA),"171,747",4.50%,$32.68,$14.38
28 (tie),Missouri (MO),"118,544",4.50%,$30.83,$13.39
28 (tie),Wisconsin (WI),"120,704",4.50%,$29.30,$11.07
28 (tie),Rhode Island (RI),"20,750",4.50%,$34.25,$13.98
32,Montana (MT),"19,447",4.40%,$23.63,$7.95
33,Alabama (AL),"79,700",4.30%,$32.26,$15.32
34,Nebraska (NE),"38,768",4.10%,$28.87,$11.94
35 (tie),Wyoming (WY),"11,620",4.00%,$26.61,$8.47
35 (tie),South Carolina (SC),"73,464",4.00%,$29.17,$12.49
35 (tie),Florida (FL),"294,372",4.00%,$29.53,$12.11
38 (tie),Indiana (IN),"106,432",3.90%,$28.52,$11.26
38 (tie),Iowa (IA),"57,066",3.90%,$28.56,$11.90
40,Maine (ME),"22,397",3.80%,$28.67,$11.27
41,Oklahoma (OK),"57,176",3.60%,$28.30,$12.35
42 (tie),Kentucky (KY),"60,908",3.40%,$27.58,$10.95
42 (tie),Hawaii (HI),"22,186",3.40%,$31.22,$12.41
42 (tie),South Dakota (SD),"13,825",3.40%,$23.71,$8.62
42 (tie),Arkansas (AR),"40,087",3.40%,$26.34,$10.78
46,North Dakota (ND),"12,893",3.30%,$25.21,$8.88
47 (tie),Tennessee (TN),"84,300",3.20%,$29.19,$12.52
47 (tie),West Virginia (WV),"23,021",3.20%,$26.24,$10.50
49,Louisiana (LA),"59,848",3.10%,$29.30,$12.76
50,Nevada (NV),"32,548",2.90%,$30.87,$12.79
51,Mississippi (MS),"31,658",2.80%,$26.21,$10.92
,Total,"6,855,732",5.20%,$34.07,$14.94